Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
California	A 410	Bots: Disclosure	Pending	Requires a person who uses a bot to autonomously communicate with another to ensure that the bot discloses to any person with whom the bot communicates when the bot first communicates with the person that the bot is a bot and not a human being. Authorizes the attorney general, a district attorney, county counsel, city attorney, or city prosecutor to bring a civil action to punish noncompliance.	Private Sector Use; Notification; Criminal Use
California	S 11	Artificial Intelligence Technology	Pending	Provides that existing law creates a civil cause of action against any person who knowingly uses the name, voice, signature, photograph, or likeness of another person, without their consent, for specified purposes. Clarifies that, for purposes of this cause of action, a digital replication of a voice or likeness that a reasonable person would believe to be a genuine voice or likeness is deemed to be the voice or likeness of the person depicted.	Judicial Use
California	S 69	Artificial Intelligence Program: Attorney General	Pending	Requires the attorney general to establish and maintain a specified program to build internal expertise in AI, including its applications, risks, regulatory implications, and civil rights impacts. Requires, on or before the specified date, and annually thereafter, the attorney general to submit a public report to the Legislature describing the program, key developments in AI law and policy, and recommendations for additional State oversight or safeguards.	Judicial Use
California	S 253	State Bar of California	Pending	Provides that existing law requires certain revenue received from certain noninsurance and insurance affinity programs offered to licensees of the State Bar to go to the California Lawyers Association or an affiliated 501(c)(3) organization to support diversity, equity and inclusion. The bill would require the Committee of Bar Examiners to give notice if certain changes are made to the bar examination, including changing the functionality of testing software or materials, or if AI is used in creating questions for or grading the bar examination.	Education Use; Judicial Use
California	S 295	California Preventing Algorithmic Collusion Act of 2025	Pending	Enacts the California Preventing Algorithmic Collusion Act of 2025 to require a person, upon request of the attorney general, to provide to the attorney general information related to pricing algorithms. Requires specified officers to certify the accuracy of the report, subject to civil penalties. Prohibits a person from using or distributing any pricing algorithm that uses, incorporates, or was trained with, competitor data.	Private Sector Use
California	S 384	Preventing Algorithmic Price Fixing Act: Prohibition	Pending	Provides for the Preventing Algorithmic Price Fixing Act, which would, in addition to any other law, prohibit a seller from using a price fixing algorithm to set either a price or supply level of a good or service or a rent or occupancy level of rental property. Authorizes the attorney general or a city attorney or county counsel to file a civil action for violations of these provisions, including for a civil penalty of up to a specified amount per violation.	Private Sector Use; Housing
California	S 420	Automated Decision Systems	Pending	Relates to the State AI Transparency Act and providers of generative AI systems. Relates to regulating developers or deployers of a high-risk automated decision system. Requires a developer or a deployer to perform an impact assessment on the high-risk automated decision system before making it publicly available or deploying it. Authorizes the attorney general or the Civil Rights Department to bring a specified civil action to enforce compliance.	Private Sector Use; Impact Assessment; Government Use
California	S 524	Law Enforcement Agencies: Artificial Intelligence	Pending	Requires each law enforcement agency to maintain a policy to require an official report prepared by a law enforcement officer or any member of a law enforcement agency to include specified information on each page, including a disclosure statement, if the report was generated in a draft, interim, or final form using AI either fully or partially.	Government Use
California	S 813	Multistakeholder Regulatory Organizations	Pending	Provides that existing law requires the Department of Technology to conduct a comprehensive inventory of all high-risk automated decision systems that have been proposed for use, development, or procurement by, or are being used, developed, or procured by, a state agency. Establishes a process by which the attorney general designates a private entity as a multistakeholder regulatory organization. Requires an MRO to perform responsibilities related to certifying the safety of AI models.	Government Use; Criminal Use
Colorado	H 1264	Prohibits Intimate Personal Data Automated Analysis	Failed - Adjourned	Concerns limiting the use of automated analysis of intimate personal data to make inferences that impact a person's financial position.	Private Sector Use; Responsible Use; Criminal Use
