Jurisdiction	Bill	Title	Status	Summary	Category	Links
New York	S 1274	Commission on Forensic Science	Pending	Updates the membership, powers, duties and procedures of the commission on forensic science; establishes the scientific advisory committee, the social justice, ethics, and equity assessment committee and the forensic analyst license advisory committee; makes conforming changes.	Studies; Responsible Use; Judicial Use; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwUzEyNzQifQ.u7wbo0ishOfOJT1A9tv9jVTnmR9mkSdjbKnbNY0M0-Q
New York	S 2698	Certification of Filings Produced Using Generative AI	Pending	Amends the Civil Practice Law & Rules Law; requires certification of filings produced using generative AI; requires the brief of an appellant to contain a disclosure of the use of generative AI in the drafting of the brief and certification that the content therein was reviewed and verified by a human.	Judicial Use; Notification	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwUzI2OTgifQ.o46qLx5l4UbFuvbdvUBKEJrxh7y1vE8wEY-hFM_IiFQ
New York	S 8217	Law Enforcement Agencies Staffed Hotline	Pending	Relates to requiring certain covered platforms to provide a process for law enforcement agencies to contact such platform and to comply with search warrants within seventy-two hours.	Private Sector Use; Government Use; Criminal Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTlkyMDI1MDAwUzgyMTcifQ.apon_Ih3f4wM3X75_JSMwx3U_veWseIJnZOOwiTSJCU
North Dakota	H 1613	Law Enforcement Use of a Drone or Robot	Enacted	Relates to law enforcement use of a robot; provides that a law enforcement agency may not authorize the use of a robot to deploy a lethal weapon, unless the weapon is controlled remotely, cannot be activated autonomously, and is used to neutralize an inanimate object at risk of exploding or causing an immediate threat to public safety or property, among other things.	Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTkQyMDI1MDAwSDE2MTMifQ.bc2iE9Deq4OTplKyrev9buy3PuYeQeWtnbs21lpGeoM
North Dakota	S 2186	Removal or Withholding of a Child	Enacted	Relates to interference with court-ordered parenting time; creates a child custody review task force; provides for a legislative management report; provides a penalty.	Judicial Use; Studies	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTkQyMDI1MDAwUzIxODYifQ.tFjn0OehR3CNpDPf5bBc5bEbZ3OVn7cQbcnEyqmPr8M
Oklahoma	H 1537	Amusements and Sports	Pending - Carryover	Relates to amusements and sports; enacts the Supporting Affordability and Fairness with Every Bet Act of 2025 or the safe Bet Act; defines terms; provides prohibition on sports wagering; provides exceptions; authorizes Attorney General to bring civil action; provides that trial shall be by a jury; provides for civil penalties; provides for jurisdiction; directs state to submit application; provides information application shall include.	Private Sector Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiT0syMDI1MDAwSDE1MzcifQ.jrsSX73li2saMNoMK-ENQmnO50dneBicAuoj-vtmIr0
Oklahoma	H 2016	Evidence	Pending - Carryover	Relates to evidence; relates to testimony by experts; provides for AI expert testimony; relates to hearsay; provides for attacking and supporting creditability of AI expert testimony; provides an effective date.	Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiT0syMDI1MDAwSDIwMTYifQ.orEEMCM6OTYqt0Q-Pk75ITAoJz8xLtn12LCnqQRum7w
Oklahoma	S 611	State Government	Pending - Carryover	Relates to state government; creates the Citizen's Bill of Rights; provides short title; defines terms; restricts certain entities from taking certain actions relating to currency; guarantees certain rights for the use of gold and silver; restricts certain entities from taking certain actions relating to digital identification; prohibits certain entities from implementing a social credit score; prohibits certain entities from taking certain actions relating to medical procedures.	Government Use; Private Sector Use; Effect on Labor/Employment; Judicial Use; Oversight/Governance	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiT0syMDI1MDAwUzYxMSJ9.kbkAbUkdit0zsq-eszT4QIgV1RBh3hF34uT4i139Ptk
Oregon	H 2330	Law Enforcement Interdiction Task Force	Failed	Establishes the Task Force on Law Enforcement Interdiction Against Financial Scams on the Elderly.	Studies; Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiT1IyMDI1MDAwSDIzMzAifQ.a87PEDtOPmcImrnEaJ5E5LNW6wixf6gXwYYuAigNEMg
Rhode Island	S 627	Regulatory Provisions on AI Act	Pending	Establishes regulations to ensure the ethical development, integration, and deployment of high-risk AI systems, particularly those influencing consequential decisions in areas like employment, education, lending, housing, healthcare, and legal services. Requires developers, integrators, and deployers to use reasonable care to prevent algorithmic discrimination, implement risk management policies, conduct regular impact assessments, and provide transparency.	Responsible Use; Private Sector Use; Impact Assessment; Notification	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiUkkyMDI1MDAwUzYyNyJ9.xNwiYWQy0YwDPmKp7uQuX42gjx2MVEI_SPASffCqtMQ
South Carolina	H 3058	Offense of Intentionally Disseminating Intimate Images	Enacted	Defines necessary terms for the offense of unauthorized disclosure of intimate images; creates the offense of unauthorized disclosure of intimate images; provides graduated penalties; provides an exception for law enforcement under certain circumstances.	Criminal Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiU0MyMDI1MDAwSDMwNTgifQ.NC9Nqb4y0RbnVnYU1ObcKFzm3iKz0iq0oWKnvsPAxvM
